Dosage,DosageFreq,Formulation_ Liquid,Formulation_Capsule ,Formulation_Cream,Formulation_Eyedrop,Formulation_Inhaler,Formulation_Liquid,Formulation_Ointment,Formulation_Other,Formulation_Others,Formulation_Spray,Formulation_Tablet,Brand_Names_,Drug_Name_
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0,3,0,0,0,0,0,0,0,1,0,0,0,Alevazol,Clotrimazole
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,Accuneb,Salbutamol
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0,1,0,0,0,0,0,0,1,0,0,0,0,Pred Forte,Prednisolone
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Armonair,Fluticasone
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
0,1,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
0,1,0,0,0,1,0,0,0,0,0,0,0,Zylet,Tobramycin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Fluticare,Fluticasone
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Biomox,Amoxicillin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Accuneb,Salbutamol
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Tarpeyo,Budesonide
0,2,0,0,0,0,0,0,1,0,0,0,0,Pred-G,Prednisolone
0,2,0,0,0,0,0,0,0,1,0,0,0,Cruex Antifungal,Clotrimazole
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Alavert D,Loratadine
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
0,1,0,0,0,1,0,0,0,0,0,0,0,Kitabis,Tobramycin
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Alavert D,Loratadine
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Talicia,Amoxicillin
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Likmez,Metronidazole
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
0,2,0,0,0,0,0,0,0,1,0,0,0,Mometavet,Clotrimazole
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Clavacillin,Amoxicillin
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
0,1,0,0,0,1,0,0,0,0,0,0,0,Tobi,Tobramycin
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Calagel Reformulated Jun 2019,Diphenhydramine
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Uceris,Budesonide
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Allerclear,Loratadine
0,1,0,0,0,1,0,0,0,0,0,0,0,Tobradex,Tobramycin
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-itin D,Loratadine
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Nasopro 24,Fluticasone
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Zzzquil,Diphenhydramine
0,1,0,0,0,0,0,0,0,0,0,1,0,Malaseb,Miconazole
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Breztri,Budesonide
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Nasoflow,Fluticasone
0,2,0,0,0,0,0,0,0,0,0,1,0,Rash Relief Antifungal,Miconazole
25 MG/ML,1,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Uceris,Budesonide
0,1,0,0,0,0,0,0,0,0,0,1,0,Micatin,Miconazole
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Ibuprohm,Ibuprofen
0,3,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Reprexain,Ibuprofen
0,2,0,0,0,0,0,0,0,1,0,0,0,Lotrisone,Clotrimazole
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Alavert D,Loratadine
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Claritin-D,Loratadine
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
800 MG,3,0,0,0,0,0,0,0,0,0,0,1,Motrin PM,Ibuprofen
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,3,0,0,0,0,0,0,1,0,0,0,0,Prednistab,Prednisolone
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
0,2,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Claritin-D,Loratadine
0,2,0,0,0,0,0,0,0,1,0,0,0,Lotrimin,Clotrimazole
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Clavacillin,Amoxicillin
800 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-Profen,Ibuprofen
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Wal-Dryl-D,Diphenhydramine
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
0,2,0,0,0,0,0,0,0,1,0,0,0,Tri-Otic for Canines,Clotrimazole
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Claritin-D,Loratadine
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Counteract IB,Ibuprofen
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Breyna,Budesonide
0,3,0,0,0,1,0,0,0,0,0,0,0,Bethkis,Tobramycin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Neoprofen,Ibuprofen
50 MG/ML,2,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0,3,0,0,0,1,0,0,0,0,0,0,0,Kitabis,Tobramycin
0,3,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Eohilia,Budesonide
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Tarpeyo,Budesonide
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,1,0,0,0,0,0,0,0,0,0,1,0,Surolan,Miconazole
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0,1,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
150 MG,1,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
0,2,0,0,0,0,0,0,1,0,0,0,0,Blephamide,Prednisolone
0,2,0,0,0,0,0,0,0,0,0,1,0,Cruex Prescription Strength,Miconazole
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Panadol,Paracetamol
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
0,3,0,0,0,0,0,0,0,0,0,1,0,Aloe Vesta Antifungal,Miconazole
0,3,0,0,0,0,0,0,1,0,0,0,0,Temaril-P,Prednisolone
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Trimox,Amoxicillin
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,1,0,0,0,0,0,0,0,0,0,1,0,Ony-Clear,Miconazole
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Xhance,Fluticasone
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Noritate,Metronidazole
0,2,0,0,0,0,0,0,0,1,0,0,0,Otomax,Clotrimazole
0,1,0,0,0,0,0,0,0,1,0,0,0,Fungicure Solution,Clotrimazole
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
250MG/ 5ML ,2,0,0,0,0,0,1,0,0,0,0,0,Panadol,Paracetamol
0,2,0,0,0,0,0,0,1,0,0,0,0,Veripred,Prednisolone
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Vicoprofen,Ibuprofen
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Motrin PM,Ibuprofen
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
0,3,0,0,0,0,0,0,0,0,0,1,0,Tetterine,Miconazole
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
0,2,0,0,0,0,0,0,1,0,0,0,0,Pred Mild,Prednisolone
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Nuvessa,Metronidazole
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-vert,Loratadine
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Zantac,Ranitidine
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Ibuprohm,Ibuprofen
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
100 MG ,2,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
0,2,0,0,0,0,0,0,0,1,0,0,0,Motazol,Clotrimazole
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Airsupra,Budesonide
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,Airsupra,Salbutamol
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Proventil,Salbutamol
0,3,0,0,0,0,0,0,0,1,0,0,0,LoZatom,Clotrimazole
0,3,0,0,0,0,0,0,1,0,0,0,0,Blephamide,Prednisolone
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Betacillin,Amoxicillin
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Amoxi Drop,Amoxicillin
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Umbrellin,Amoxicillin
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Motrin,Ibuprofen
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-Profen,Ibuprofen
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Betacillin,Amoxicillin
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Fluticare,Fluticasone
0,3,0,0,0,0,0,0,0,1,0,0,0,Mometavet,Clotrimazole
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Likmez,Metronidazole
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Paracip,Paracetamol
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Pylera,Metronidazole
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Combivent,Salbutamol
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Amoxi-tabs,Amoxicillin
0.75%,2,0,0,1,0,0,0,0,0,0,0,0,Likmez,Metronidazole
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Paracip,Paracetamol
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Ivarest Maximum Strength,Diphenhydramine
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Nytol,Diphenhydramine
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Advil,Ibuprofen
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,MetroGel,Metronidazole
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Excedrin PM Triple Action,Diphenhydramine
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Accuneb,Salbutamol
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
0,2,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
25 MG/ML,2,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Motrin,Ibuprofen
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Allerclear,Loratadine
0,1,0,0,0,0,0,0,1,0,0,0,0,Pediapred,Prednisolone
10 MG,2,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Wal-vert,Loratadine
800 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-Profen,Ibuprofen
250MG/ 5ML ,2,0,0,0,0,0,1,0,0,0,0,0,Paracip,Paracetamol
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
100 MG ,1,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
0,1,0,0,0,0,0,0,1,0,0,0,0,Blephamide,Prednisolone
50 MG,3,0,1,0,0,0,0,0,0,0,0,0,Zzzquil,Diphenhydramine
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Panadol PM,Diphenhydramine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,Proventil,Salbutamol
1000000 UNT,1,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Trimox,Amoxicillin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Xylon,Ibuprofen
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Benadryl,Diphenhydramine
0,2,0,0,0,0,0,0,0,1,0,0,0,Dermatin,Clotrimazole
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG/ML,3,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Wal-Dryl-D,Diphenhydramine
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Aldex CT,Diphenhydramine
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",2,0,0,0,0,1,0,0,0,0,0,0,Accuneb,Salbutamol
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Addaprin,Ibuprofen
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,Ventolin,Salbutamol
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Panadol,Paracetamol
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Bio-Statin,Nystatin
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-itin,Loratadine
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Keflex,Cephalexin
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,MetroLotion,Metronidazole
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Allerclear,Loratadine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,ProAir,Salbutamol
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Benadryl,Diphenhydramine
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
10 MG,3,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
0,2,0,0,0,1,0,0,0,0,0,0,0,Tobi,Tobramycin
10 MG,1,0,1,0,0,0,0,0,0,0,0,0,Strattera,Atomoxetine
400 MG,3,0,0,0,0,0,0,0,0,0,0,1,Clavacillin,Amoxicillin
40 MG/ML,3,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Wal-Dryl Allergy,Diphenhydramine
25 MG/ML,3,0,0,0,0,0,0,0,0,1,0,0,Wal-Zan,Ranitidine
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Wal-Profen,Ibuprofen
150 MG,3,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Ibu,Ibuprofen
0,2,0,0,0,1,0,0,0,0,0,0,0,Tobradex,Tobramycin
 0.25 MG/ACTUAT,2,0,0,0,0,1,0,0,0,0,0,0,Advair,Fluticasone
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Bayer Aspirin PM Reformulated Nov 2011,Diphenhydramine
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",3,0,0,0,0,1,0,0,0,0,0,0,Accuneb,Salbutamol
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Allerclear,Loratadine
0,1,0,0,0,0,0,0,1,0,0,0,0,Orapred,Prednisolone
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zmax,Azithromycin
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Advil,Ibuprofen
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Wal-Sleep Z,Diphenhydramine
0,2,0,0,0,0,0,0,0,1,0,0,0,Lotrimin,Clotrimazole
10 MG ,3,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
0,3,0,0,0,1,0,0,0,0,0,0,0,Tobradex,Tobramycin
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Nuvessa,Metronidazole
0.75%,1,0,0,1,0,0,0,0,0,0,0,0,Nydamax,Metronidazole
0,2,0,0,0,0,0,0,0,0,0,1,0,Zeasorb,Miconazole
10 MG ,2,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
10 MG,2,0,0,0,0,0,0,0,0,0,0,1,Alavert D,Loratadine
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Betacillin,Amoxicillin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Arnuity,Fluticasone
800 MG,1,0,0,0,0,0,0,0,0,0,0,1,Addaprin,Ibuprofen
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Eohilia,Budesonide
800 MG,3,0,0,0,0,0,0,0,0,0,0,1,Proprinal,Ibuprofen
50 MG/ML,1,0,0,0,0,0,1,0,0,0,0,0,Biaxin,Clarithromycin
50 MG,1,0,1,0,0,0,0,0,0,0,0,0,Calagel,Diphenhydramine
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
40 MG/ML,2,1,0,0,0,0,0,0,0,0,0,0,Zithromax,Azithromycin
1000000 UNT,2,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nyamyc,Nystatin
